trial_id,timestamp,model,status,in_tokens,out_tokens,sec,error
S1_V0_none_claude-sonnet_rep0,2026-02-27T08:43:31.924188,claude-sonnet,success,807,722,6.93,
S1_V0_none_claude-sonnet_rep1,2026-02-27T08:43:38.576367,claude-sonnet,success,807,722,6.15,
S1_V0_none_claude-sonnet_rep2,2026-02-27T08:43:45.545113,claude-sonnet,success,807,722,6.47,
S1_V1_none_claude-sonnet_rep0,2026-02-27T08:44:02.476025,claude-sonnet,success,801,734,16.43,
S1_V1_none_claude-sonnet_rep1,2026-02-27T08:44:15.577959,claude-sonnet,success,801,641,12.6,
S1_V1_none_claude-sonnet_rep2,2026-02-27T08:44:30.851470,claude-sonnet,success,801,696,14.76,
S1_V2_causal_claude-sonnet_rep0,2026-02-27T08:44:59.852954,claude-sonnet,success,807,1463,28.5,
S1_V2_causal_claude-sonnet_rep1,2026-02-27T08:45:30.272910,claude-sonnet,success,807,1434,29.92,
S1_V2_causal_claude-sonnet_rep2,2026-02-27T08:45:55.734774,claude-sonnet,success,807,1165,24.96,
S1_V2_practical_claude-sonnet_rep0,2026-02-27T08:46:19.207693,claude-sonnet,success,797,1076,22.97,
S1_V2_practical_claude-sonnet_rep1,2026-02-27T08:46:43.087601,claude-sonnet,success,797,1048,23.37,
S1_V2_practical_claude-sonnet_rep2,2026-02-27T08:47:07.025117,claude-sonnet,success,797,1206,23.44,
S1_V2_historical_claude-sonnet_rep0,2026-02-27T08:47:36.364624,claude-sonnet,success,798,1202,28.84,
S1_V2_historical_claude-sonnet_rep1,2026-02-27T08:48:00.879122,claude-sonnet,success,798,939,24.01,
S1_V2_historical_claude-sonnet_rep2,2026-02-27T08:48:30.022441,claude-sonnet,success,798,1194,28.64,
S1_V2_formal_claude-sonnet_rep0,2026-02-27T08:48:51.934260,claude-sonnet,success,804,978,21.4,
S1_V2_formal_claude-sonnet_rep1,2026-02-27T08:49:17.851547,claude-sonnet,success,804,1155,25.42,
S1_V2_formal_claude-sonnet_rep2,2026-02-27T08:49:44.462192,claude-sonnet,success,804,1285,26.11,
S1_V3_causal_claude-sonnet_rep0,2026-02-27T08:50:13.253085,claude-sonnet,success,836,1221,28.29,
S1_V3_causal_claude-sonnet_rep1,2026-02-27T08:50:42.555263,claude-sonnet,success,836,1216,28.8,
S1_V3_causal_claude-sonnet_rep2,2026-02-27T08:51:12.076432,claude-sonnet,success,836,1331,29.01,
S1_V3_practical_claude-sonnet_rep0,2026-02-27T08:51:45.394288,claude-sonnet,success,828,1309,32.82,
S1_V3_practical_claude-sonnet_rep1,2026-02-27T08:52:15.450161,claude-sonnet,success,828,1113,29.56,
S1_V3_practical_claude-sonnet_rep2,2026-02-27T08:52:52.064313,claude-sonnet,success,828,1445,36.11,
S1_V3_historical_claude-sonnet_rep0,2026-02-27T08:53:27.931597,claude-sonnet,success,827,1434,35.37,
S1_V3_historical_claude-sonnet_rep1,2026-02-27T08:53:59.987443,claude-sonnet,success,827,1254,31.54,
S1_V3_historical_claude-sonnet_rep2,2026-02-27T08:54:44.089099,claude-sonnet,success,827,1706,43.6,
S1_V3_formal_claude-sonnet_rep0,2026-02-27T08:55:15.757275,claude-sonnet,success,828,1425,31.17,
S1_V3_formal_claude-sonnet_rep1,2026-02-27T08:55:45.230588,claude-sonnet,success,828,1332,28.97,
S1_V3_formal_claude-sonnet_rep2,2026-02-27T08:56:20.541034,claude-sonnet,success,828,1531,34.81,
